nct_id,brief_title,kmeans_cluster
NCT05194787,TAS Test: Online Motor-cognitive Tests for Early Detection of Alzheimer's Disease,2
NCT03565809,Quality of the Management of Diabetes in Elderly People With Dementia in France,3
NCT01434940,Eye Movement Recording as an Early Differential Diagnostic Tool for Alzheimer/Depression,2
NCT01268020,Evaluation of [18F] FMH3 and PET as a Marker of Histamine-3 Receptor Activity in Subjects With AD Compared w/ HC,0
NCT03880240,Gamma Induction for Alzheimer's Disease,2
NCT06285240,Efficacy and Safety of MK-1167 in Participants With Alzheimer's Disease Dementia Taking Stable Donepezil Treatment (MK-1167-007),1
NCT06375213,Investigating Neurocognitive Disorders Epidemiology,2
NCT04619420,A Study of JNJ-63733657 in Participants With Early Alzheimer's Disease,2
NCT00420420,MK0249 for the Symptomatic Treatment of Alzheimer's Disease (MK0249-011),1
NCT06249204,Patient-Centered Dementia Care Practice Coaching Intervention,3
NCT03038035,The Alzheimer's Disease THErapy With NEuroaid (ATHENE) Study,2
NCT00408525,Donepezil and Brain Activity Patterns in Those at Risk For Alzheimer's Disease,2
NCT00216515,The Efficacy of Galantamine on the Attention and the Frontal Function of the Patients With Dementia of Alzheimer Type,2
NCT02534480,Neurogenetic Pharmaceuticals (NGP) 555 in Healthy Young Volunteers (Single-ascending Dose),4
NCT04597827,Metacognition in Semantic Dementia: Comparison With Alzheimer's Disease,2
NCT02861846,Predictive Value of Biomarkers of the Alzheimer's Disease (AD) in Elderly Patients With New-onset Epilepsy,2
NCT00979446,Passport to Brain Wellness in Sedentary Adults,5
NCT06045988,"Automated, Assistive, Non-Contact Sleep Quality Monitor for Individuals With Alzheimer's Disease",3
NCT07089303,Alzheimer's Disease Multinuclear Imaging Neuro-Enhanced Resolution (AD-MINER),5
NCT05059158,Amyloid-β Clearance Mechanisms in Alzheimer's Disease,5
NCT01009255,Study to Evaluate the Efficacy and Safety of GSK239512 in Alzheimer's Disease,1
NCT06852326,Designing a Tailored Primary Care Intervention to Manage the Burden of Caring for Patients Living with Alzheimer's Disease (or a Related Dementia),3
NCT00104273,Rasagiline 1 mg and 2 mg Added to Aricept 10 mg Daily in Patients With Mild to Moderate Alzheimer's Disease (AD),1
NCT05640141,Pre-demential Motoric Cognitive Risk Syndrome in Ageing Subjects,2
NCT04023994,"A Single Ascending Dose Study to Investigate the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Intravenously Administered RO7126209 in Healthy Participants",4
NCT05827094,Pilot Mobile for Dementia and Frailty,3
NCT03810794,Clinical Evaluation on the Therapeutic Effect of Acupuncture Treatment for Alzheimer's Disease,3
NCT04436341,Epileptic Activity in Patients With Alzheimer's Disease and Lewy Body Dementia,2
NCT04994483,Simufilam 100 mg for Mild-to-Moderate Alzheimer's Disease,1
NCT04691505,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM) - Methotrexate vs Hydroxychloroquine,2
NCT06384573,DIAN-TU Amyloid Removal Trial (ART) in Dominantly Inherited Alzheimer's Disease,0
NCT00930059,A Study Of PF-04447943 Compared To Placebo In Subjects With Mild To Moderate Alzheimer's Disease,1
NCT05218018,Triglyceride Effects on Blood Flow in the Human Brain,2
NCT02820896,A Study of RO7105705 in Healthy Participants and Participants With Mild-to-Moderate Alzheimer's Disease,4
NCT03919162,A Trial to Evaluate the Efficacy and Safety of PQ912 in Patients With Early AD,1
NCT02516046,18F-AV-1451 Autopsy Study,0
NCT02759159,The Study of Mechanism of Alzheimer's Disease Using Acupuncture Based on fMRI,2
NCT00702780,Progression Delaying Effect of Escitalopram in Alzheimer's Disease,1
NCT02471196,Efficacy of ORM-12741 on Agitation/Aggression Symptoms in Alzheimer's Disease,3
NCT00366288,Study Evaluating PAZ-417 in Healthy Young/Elderly,4
NCT00018473,Gene-Environment Interactions in Alzheimer's Disease,2
NCT07465783,Effects of Musical Intervention by a Therapist (IMT) on Falling Asleep and Behavioral Regulation in a Secure Care Unit (SCU),3
NCT06761066,Efficacy and Safety of NVP-NK4146 in Patients with Mild Cognitive Impairment (MCI) Due to Alzheimer's Disease,5
NCT05423522,Clinical Safety and Efficacy Evaluation of NanoLithium® NP03 in Patients With Mild-to-severe Alzheimer's Disease,1
NCT06833281,Extension Study of Participants From SPG302-ALZ-101,1
NCT06366867,An Open Platform of Serious Games for Cognitive Intervention,3
NCT02833792,Allogeneic Human Mesenchymal Stem Cells for Alzheimer's Disease,1
NCT00998764,A Long-Term Safety And Tolerability Extension Study Of Bapineuzumab In Alzheimer Disease Patients,1
NCT05529706,Community-based Brain Health Program to Address Dementia Risk,3
NCT04701957,The Ketogenic Diet for Alzheimer's Disease,5
NCT02638519,HP Xenon-129 fMRI of Healthy Volunteers and Participants With Alzheimer's Disease,2
NCT05983575,A Pivotal Study of LIPUS-Brain in Patients With Early Alzheimer's Disease,2
NCT00006187,The Safety and Efficacy of an Investigational Drug in Delaying the Progression of Alzheimer's Disease,2
NCT00297414,An Observational Study for Analysis of Mortality in Participants Who Participated in Previous 3 Studies of Galantamine,5
NCT04311736,Concurrent Aerobic Exercise and Cognitive Training to Prevent Alzheimer's in At-risk Older Adults,2
NCT00902499,Evolution of Memory Related Activity,5
NCT01253499,Multiple Dose Study of TRx0037,4
NCT04871698,On Site Sensors Monitoring Impacts of Cognitive Decline on ADLs,3
NCT05379348,Davos Alzheimer's Collaborative Study: Sequential Administration of Digital Testing To Screen For Cognitive Impairment Followed By Blood Based Biomarkers To Assist With Timely Detection And Accurate Diagnosis Of Alzheimer's Disease,5
NCT03082755,Nighttime Agitation and Restless Legs Syndrome in People With Alzheimer's Disease,3
NCT06304883,Long-term Extension of Phase 3 Study of ALZ- 801 in APOE4/4 Early AD Subjects,1
NCT01217541,Collaboration Between Department of Old Age Psychiatry and Nursing Homes,3
NCT03454646,Comparison of Therapeutic Strategies With Cholinesterase Inhibitors (SOS TRIAL),2
NCT01018927,Detecting Early Myocardial Infiltration w/Amyloid & Light Chain Deposition Disease in Multiple Myeloma Subjects,2
NCT01661673,"Safety, Tolerability, Pharmacokinetics of EVP-0962 and Effects of EVP-0962 on Cerebral Spinal Fluid Amyloid Concentrations in Healthy Subjects and in Subjects With Mild Cognitive Impairment or Early Alzheimer's Disease",4
NCT06275243,Polymorphism of ApoE in Alzheimer's Disease: Genetic Study in Castile and Leon (Spain),2
NCT03168997,Memantine Treatment in Alzheimer's Disease Patients,2
NCT04606420,Can Lifestyle Changes Reverse Early-Stage Alzheimer's Disease,2
NCT07259369,"The Effects of an App-based Acupressure on Alleviating Fatigue, Pruritus, and Sleep Quality Among Hemodialysis Patients",3
NCT05460143,Optical Neuroimaging and Cognition,2
NCT03666624,Socially Isolated Older Adults Living With Dementia,3
NCT01147679,"Study of Social Behavior and Emotion in Frontotemporal Dementia, Alzheimer's Disease and Controls",2
NCT01348061,"Evaluating Cerebrospinal Fluid Biomarkers in Alzheimer's, Progressive Supranuclear Palsy Subjects, and Controls",2
NCT04842552,Effect of Hydralazine on Alzheimer's Disease,2
NCT04390646,GnRH Therapy on Cognition in Down Syndrome,2
NCT00305903,Safety and Tolerability of Rivastigmine With Add-on Memantine in Patients With Probable Alzheimer's Disease,1
NCT02018913,Blood-brain Barrier Leakage in Dementia. A Dynamic Contrast-enhanced MRI Study,2
NCT02795780,Follow up 18F-AV-1451 Scan in Confirmatory Cohort Subjects From Study 18F-AV-1451-A05,0
NCT01188070,Caregiver Stress: Interventions to Promote Health and Wellbeing,3
NCT01605448,Mindfulness Based Stress Reduction for Adults With Mild Cognitive Impairment,5
NCT04320368,China Alzheimer's and Neurodegenerative Disorder Research,5
NCT00855868,Ability Of ([18F]-AV-45) PET Scan to Distinguish Alzheimer's Disease Subjects From Cognitively Normal Individuals,0
NCT05220150,Discovering FFC-MRI Biomarkers of Alzheimer Disease,2
NCT00031018,Prevention of Cognitive Decline in Alzheimer's Disease by Ingested Interferon Alpha,2
NCT00921297,Cataract Removal and Alzheimer's Disease,3
NCT02370524,Quantitative Evaluation of [18F]T807 as a Potential PET Radioligand for Imaging Tau in Patients With Alzheimer's Disease,0
NCT02397980,Intervention Programs for Decreasing Caregiver Burden in Caregivers of Patients With Dementia,3
NCT03672279,Validation of a Novel Self-Administered Cognitive Assessment Tool (CogCheck) in Patients With Mild and Major Neurocognitive Disorder Predominantly Due to Alzheimer's Disease,2
NCT02522091,"Cerebral Substrates of Prospective Memory in Young and Its Disruption in Normal Aging and in Alzheimer's Disease: A Study in Anatomical MRI, Diffusion Tensor MRI and Functional MRI",5
NCT04817891,Stimulation of Cingulo-opercular Alertness Network,2
NCT04327778,Automate Music Therapy for the Management of Behavioral Disorders in Nursing Homes,3
NCT07127510,Brain NAD in Alzheimer's Disease,2
NCT04585347,Single Dose Study of ALZ-801 Prototype Tablets,4
NCT02521818,Dietary Treatments for Cognitive Impairment in Older Adults,5
NCT01128725,"Truncated and Extended Forms of Amyloid Beta Peptides in Alzheimer's Disease: Genesis, Toxicity and Identification as Biological Markers",2
NCT04730440,Rehabilitation of Facial Emotion Recognition in Alzheimer's Disease,3
NCT06843824,A Graphene Far-infrared Intervention Study of Cognitive Status in Older Adults,5
NCT01867359,The Genetic Characterization of Dementia,2
NCT01322373,A Study of Alzheimer's Disease Using Magnetoencephalography (MEG) and the Synchronous Neural Interaction™ Test,2
NCT03325205,MR Guided tDCS in Alzheimer's Disease,2
NCT05531656,A Study to Evaluate the Safety and Efficacy of CT1812 in Early Alzheimer's Disease,1
NCT02989402,"A Phase IV Study to Evaluate Safety, Tolerability and Effectiveness of Rivastigmine Patch 15cm2 in Patients With Severe Dementia of the Alzheimer's Type.",1
NCT03762902,Predicting Migraine Attacks Based on Environmental and Behavioral Changes as Detected From the Smartphone,3
NCT07118137,Memory Deterioration in Alzheimer Disease,2
NCT03773757,Indiana Palliative Excellence in Alzheimer's Care Efforts,3
NCT05421728,Effectiveness of Engaging in Advance Care Planning Talks (ENACT) Group Visits in Primary Care for Older Adults With and Without Alzheimer's Disease,3
NCT01614886,"Randomized, Double-blind Study to Evaluate the Tolerability of 2 Different Titration Methods of Rivastigmine Patch in AD Patients (MMSE 10-20)",1
NCT04968041,KNA Proof-of-Concept,2
NCT06444841,Paper-Based and Smartphone-Based Memory Supports,5
NCT06445894,Accelerated Intermittent Theta-burst Stimulation to Modify Cognitive Function and Balance in Dementia and Memory Loss,2
NCT05514756,VINCI-AD: An Investigation of Transcutaneous Vagus Nerve Stimulation in Mild Cognitive Impairment.,5
NCT00739037,Study Evaluating PAZ-417 in Cerebrospinal Fluid in Subjects With Alzheimer's Disease,4
NCT01172145,Treatment of Apathy in Alzheimer's Disease With Modafinil,3
NCT01690195,Safety and Tolerability Study Evaluating a New Treatment for Subjects With Mild to Moderate Alzheimer's Disease,1
NCT01825577,Exploring the Use of Transdermal Methylphenidate to Reduce Fall Risk in Patients With Dementia.,2
NCT01568086,Follow-up Study to Evaluate Long-term Safety and Tolerability of Immunization With AD03 Applied During AFF005A,1
NCT05569083,PRedicting the EVolution of SubjectIvE Cognitive Decline to Alzheimer's Disease With Machine Learning,5
NCT01823666,Predicting the Conversion From Mild Cognitive Impairment to Dementia,5
NCT02059356,Ammonia Levels and Cognitive Impairment,5
NCT05303701,GV1001 Subcutaneous for the Treatment of Moderate to Severe Alzheimer's Disease(AD),1
NCT06223360,A Trial to Evaluate the Safety and Efficacy of Benfotiamine in Patients With Early Alzheimer's Disease (BenfoTeam),1
NCT03667924,Utilizing Senior Companions to Enhance Dementia Care,3
NCT02247180,Cognitive Rehabilitation in Alzheimer's Disease,3
NCT05642429,"Study of AV-1959D, an Amyloid Beta Vaccine",0
NCT02005380,Usability Study of Spaced Retrieval Exercise Using Mobile Devices for Alzheimer's Disease Rehabilitation,3
NCT01962779,"Sleep, Aging and Risk for Alzheimer's Disease",2
NCT02119546,Effects of Exercise Training in Patients With Mild Cognitive Impairment and Early Alzheimer's Disease,5
NCT06079827,Impact of Therapeutic Plasma Exchange on RNA Biomarker Expression Levels in Alzheimer's Patients,2
NCT02462161,Study of Nasal Insulin to Fight Forgetfulness - Short-Acting Insulin Aspart,2
NCT00141661,A Safety and Tolerability Evaluation of Two 10-Week Dose Regimens of Orally-Administered PF-04494700 in Alzheimer's Patients,1
NCT00259454,Project COPE:Managing Dementia at Home,3
NCT03901105,Evaluation of Flortaucipir PET Signal and Cognitive Change in Early Alzheimer's Disease,0
NCT00599469,Far Infrared Treatment for Alzheimer's Disease,2
NCT05466422,A Study of MK-2214 in Adults With Mild Cognitive Impairment or Mild-to-Moderate Alzheimer's Disease (MK-2214-002),5
NCT07521722,DIV-AD BARCELONA: Alzheimer's Blood-Based Biomakers for a Diverse Community,3
NCT06563895,Acoramidis Transthyretin Amyloidosis Prevention Trial in the Young (ACT-EARLY) Study in Asymptomatic Carriers of a Pathogenic TTR Variant,2
NCT02518412,Transcranial Direct Current Stimulation (tDCS) as a Cognitive Enhancer for Patients With Alzheimers Disease,2
NCT01066546,An Extension To The B1451006 Protocol To Evaluate The Safety and Efficacy of Dimebon In Subjects With Moderate-to-Severe Alzheimer's Disease,1
NCT03840083,Sleep-dependent Learning in Aging,2
NCT05787041,The Effect of High Fat Diet on the Pharmacokinetics of AD16 Tablets in Healthy Chinese Adult Subjects,4
NCT07544953,Amyloid Monoclonal Antibody Treatment in PD Patients With Coexistent AD Pathology,2
NCT00988624,A Study In Healthy Volunteers To Estimate The Pharmacokinetics Of Four Modified-Release Formulations Of Dimebon (Latrepirdine),2
NCT01047579,"A 12 Week, Multicenter, Open Label Evaluation of Caregiver Preference, Safety and Tolerability of Exelon® Patch (Rivastigmine Transdermal) in Patients With Alzheimer's Disease",1
NCT00937846,Brain Uptake of GSK1034702: a Positron Emission Tomography (PET) Scan Study,0
NCT06824142,Feasibility and Interest of the 3D Ephemeris for Temporal Orientation in Alzheimer's: Pilot Study,3
NCT07548073,Effect of Scene-Based Training on Cognitive Function in Patients With Alzheimer's Disease,3
NCT06947941,A Study to Evaluate Safety and Efficacy of KarXT + KarX-EC as a Treatment for Psychosis Associated With Alzheimer's Disease (ADEPT-5),1
NCT03809351,UAB Alzheimer's Disease Center Core Cohort - Tau Imaging Substudy,0
NCT00004845,A Multicenter Trial of Rofecoxib and Naproxen in Alzheimer's Disease (NSAID Study),2
NCT00000179,Agitation in Alzheimer's Disease,3
NCT00722046,Multiple IV Dose Study Of PF-04360365 In Patients With Mild To Moderate Alzheimer's Disease,1
NCT03234686,Deferiprone to Delay Dementia (The 3D Study),1
NCT05776641,Gamma Light and Sound Stimulation to Prevent Dementia in Cognitively Normal People At Risk for Alzheimer's Disease,2
NCT02709356,Medium Chain Triglycerides and Brain Metabolism in Alzheimer's Disease,2
NCT03221296,Fall Prevention - Vestibular Rehabilitation,2
NCT00010803,Ginkgo Biloba Prevention Trial in Older Individuals,2
NCT04920786,"Sequential Dose-escalation Study to Assess the Safety, Tolerability and Pharmacokinetics of TB006 in Healthy Subjects",4
NCT06793995,Effect of Food and Age on the Pharmacokinetics of LY03017,4
NCT02778438,A Validation Study of the Novel Application of Telehealth in Clinical Drug Development in Subjects With Mild Cognitive Deficits,2
NCT01044758,Levetiracetam and Memory Function in Amnestic Mild Cognitive Impairment (MCI),5
NCT05929924,Does EVOO Induce Gene and Metabolic Changes in Healthy Subjects,2
NCT07058688,A Study of NTRX-07 in Participants With Alzheimer's Disease,2
NCT04948450,A Multidomain Intervention Program for Older People With Dementia,3
NCT06215274,Cognitive Leisure and Preclinical Alzheimer's Disease: Exploring Neural Mechanisms,2
NCT00838942,Life From Vision in Alzheimer Disease,2
NCT04031469,A Non-Interventional Pilot Study to Explore the Role of Gut Flora in Disease,2
NCT03075241,Z-Drugs for Sleep Disorders in Alzheimer's Disease,2
NCT02061878,A Study to Evaluate the Effect of Bexarotene on Beta-Amyloid and Apolipoprotein E Metabolism in Healthy Subjects,2
NCT03286608,Polyphenols and Risk of Dementia,2
NCT06019117,Effectiveness of Probiotic K10 in Managing Health Outcomes in Parkinson and Alzheimer Disease,3
NCT04439097,Effects of Multicomponent Physical Exercise Program and Mediterranean Diet in Alzheimer's Disease,3
NCT00253123,A Study of the Effectiveness and Safety of Risperidone Versus Placebo in the Treatment of Behavioral Disturbances in Patients With Dementia,1
NCT00777361,"Study of Uptake, Break Down and Elimination of an Investigational Drug in Healthy Volunteers",2
NCT03246269,Normative Values for the German Version of the Montreal Cognitive Assessment (MoCA),2
NCT05943054,Striatum and Hippocampus on Different Time Scales,2
NCT01841905,Detection of Disease-Related Changes in Pre-Symptomatic Alzheimer's Disease,2
NCT05317910,Effect of Music Therapy on Anxiety of Caregivers of Alzheimer's Disease Patients,3
NCT05350410,"""Healthy Actions and Lifestyles to Avoid Dementia or Hispanos y el ALTo a la Demencia Program""",3
NCT01400542,Sleep Apnea in Early to Mid-Stage Alzheimer's Disease,2
NCT04932473,ALFAsleep: Exploring Cognitive and Biological Correlates of Sleep Quality and Their Potential Links With Alzheimer's Disease,2
NCT06723015,Tau PET Outcomes With Anti-amyloid Immunotherapies,0
NCT07457125,The Effect of CB-Exo-A600 in Mild to Moderate Alzheimer's Disease,1
NCT07105956,Radiolabeled TSPO Targeted Molecular Probe in Alzheimer's Disease.,2
NCT03682185,The Healthy Patterns Sleep Study,3
NCT04507815,tDCS and Cognitive Training for Mild Cognitive Impairment and Alzheimer's Dementia,5
NCT03101085,S-Equol in Alzheimer's Disease 2 Trial,2
NCT00495417,Tolerability and Safety of Subcutaneous Administration of Affitope AD01 in Mild to Moderate Alzheimer's Disease,1
NCT05858515,REVERSE-Long COVID-19 With Baricitinib Study,3
NCT01369225,Open Label Extension Study Evaluating Safety and Tolerability of AAB-003 (PF-05236812) in Subject With Mild to Moderate Alzheimer's Disease,1
NCT03173846,Multiregional rtfMRI Neurofeedback for the Prevention of Alzheimer's Disease (NPAD),2
NCT02899403,Neurophysiological Correlates of Cognitive Tasks in Healthy Volunteers -WP3 P003,5
NCT06033066,Financial Incentives and Recruitment to the APT Webstudy,3
NCT03944460,SAD Phase I Study (First-in-human) to Investigate Contraloid Acetate,2
NCT04206670,In-Home Technology for Caregivers of People With Dementia and Mild Cognitive Impairment,5
NCT00939783,An Extension To The B1451027 Protocol To Evaluate The Long Term Safety And Tolerability Of Dimebon In Patients With Alzheimer's Disease,1
NCT01577394,Oculomotor Testing in the Differential Diagnosis of Dementia,2
NCT03270137,Repetitive Transcranial Magnetic Stimulation in Patients With Alzheimer Disease,2
NCT06017505,Integrating eSAGE With EHR Data Using Machine Learning for the Early Detection and Monitoring of Cognitive Impairment in Individuals,2
NCT06649929,Nuestro Sueno: Cultural Adaptation of a Couples Intervention to Improve PAP Adherence and Sleep Health Among Latino Couples With Implications for Alzheimer's Disease Risk,3
NCT07347431,Large Language Model for Understanding and Monitoring Elderly Neurocognition,3
NCT00469456,Effect of Memantine on Functional Communication in Patients With Alzheimer's Disease,2
NCT01565356,Evaluation of PET Scan Timing Relative to AV-45 Injection Time,0
NCT00751907,Cerebral and Peripheral Perfusion Pilot Study,2
NCT06826157,The Role of Advanced Electroencephalographic Data as Marker of Pathology and Prognosis in Primary Dementias,5
NCT02840045,Development of a New Neuroimaging Method Aimed to Differentiate Mnesic Abilities of Alzheimer and Depressed Patients,2
NCT04567745,Automated Retinal Image Analysis System (EyeQuant) for Computation of Vascular Biomarkers,5
NCT02353845,Construction of Diagnosis System for Early AD Based on Multi-Modality MRI Technology,5
NCT07138677,"Safty and Efficacy of MCI Network Guided TMS for Early Alzheimer's Disease: A Randomized, Double-blind Trial",2
NCT00586430,The Impact of Lorazepam on Cognition in APOE e4 Carriers,2
NCT03621839,New CSF Biomarkers for Alzheimer's Disease,2
NCT01397539,Single Ascending Dose Study of BIIB037 in Participants With Alzheimer's Disease,4
NCT00012857,Pain Management and Behavioral Outcomes in Patients With Dementia,3
NCT05728736,Acute Effect of Lemborexant on CSF Amyloid-Beta and Tau,2
NCT03661034,"Study of Tolerability, Safety and Efficacy of Sensory Stimulation at Multiple Dose Levels to Improve Brain Function (Etude Study)",1
NCT06570109,Frailty Outcomes And Risk With Alzheimer's Related Dementia,2
NCT04335994,ENhancing Outcomes in Cognitive Impairment Through Use of Home Sleep ApNea Testing,2
NCT03442322,Optimizing Care for Patients With Dementia,3
NCT02978729,Telephone Versus Videoconference Communication for Remote Genetic Disclosure in the APOE4 Trial,2
NCT05606445,Surface EMG to Measure Paratonia in Dementia,5
NCT06953167,Cognitive Health in Ageing Register: Investigational and Observational Trial Studies in Dementia Research (CHARIOT): Prospective Readiness Cohort (PRO) Longitudinal Study,2
NCT06647498,A Study of a Potential Disease Modifying Treatment in Individuals at Risk for or With a Type of Early Onset AD Caused by a Genetic Mutation,2
NCT05821153,Low Dose IL2 Immunotherapy in AD,2
NCT00000171,Study of Melatonin: Sleep Problems in Alzheimer's Disease,3
NCT01565330,A Study of Two Doses of 18F-AV-45 in Alzheimer's Disease and Healthy Volunteers,0
NCT04856072,Deep Brain Stimulation in Alzheimer's Disease: Biomarkers and Dose Optimization,0
NCT02290912,Gray Matters Alzheimer's Disease Prevention Intervention,3
NCT06704971,Assessing Cognitive Decline at Home,3
NCT05618834,Promoting Positive Care Interactions (PPCI) in Assisted Living,3
NCT04428034,Learning Skills Together Pilot Study,3
NCT07485387,Global Collaborative Research on Establishing a Korean Cognitive Aging Cohort,3
NCT02428387,"Evaluation of ""My Tools 4 Care"" for Family Caregivers of Persons With Dementia",3
NCT03283449,Tau PET Imaging in Atypical Dementias,0
NCT04730635,Cognition Platform Study in Participants at Risk for Alzheimer's Disease (AD) (MK-0000-413),5
NCT06898476,Silkworm Pupa Powder Improves Dementia.,3
NCT00160147,Treatment of Elderly Subjects With Psychosis and Behavioral Disturbances Associated With Dementia of the Alzheimer's Type,3
NCT04700540,A Mobile Informatics Solution to Aid in Memory,3
NCT00178568,Reducing Caregiver Stress and Sleep Disturbances in Patients With Progressive Dementia,3
NCT06021704,The Care for America's Aging Study,3
NCT04629547,Sleep Trial to Prevent Alzheimer's Disease,2
NCT02029547,Evaluation of Electronic Florbetapir (18F) Interpretation Training in Japanese Physicians,3
NCT04850807,Music & MEmory: A Pragmatic TRial for Nursing Home Residents With ALzheimer's Disease (METRIcAL)_part2,3
NCT06775964,Stem Cell Therapy for Early Alzheimer's Disease,2
NCT01940952,Zydena on Cognitive Function of Alzheimer's Disease Patients,2
NCT02972658,A Study of Lanabecestat (LY3314814) in Early Alzheimer's Disease Dementia,2
NCT01764243,Safety and Efficacy of MT-4666,1
NCT01454115,"Study to Evaluate the Safety, Pharmacokinetics and Tolerability of BMS-708163",4
NCT00970333,Evaluation of [18F] FEPPA and PET Imaging as a Marker of Inflammation in Subjects With Neurological Conditions,0
NCT04284449,"Integrative Therapy for Holistic, Natural Cognition and Lifestyle Rehabilitation",3
NCT05359978,Treatment in Occupational Therapy With Significant Activities to Improve Quality of Life,3
NCT04785300,ALSENLITE: Senolytics for Alzheimer's Disease,5
NCT03656107,The Cognition and Flow Study,3
NCT06825663,Marker of Brain Insulin Resistance in AD Prognosis,5
NCT01659398,Enhanced External Counterpulsation and Its Effects on Vascular Hemodynamics in Cognitively Impaired Patients,5
NCT03534687,Exercise and the Receptor for Advanced Glycation End Products (RAGE),2
NCT04309500,SHARE(D) Stage II: Alzheimer's Risk Disclosure Protocol Piloting,3
NCT04840992,Phase I/II Clinical Trial of Recombinant Novel Coronavirus (COVID-19) Vaccine (Adenovirus Type 5 Vector) for Inhalation,1
NCT06773416,CPAP Randomized Controlled Trial,5
NCT04555616,Environmental Design for Behavioral Regulation in People With Dementia,3
NCT04265378,Cognitive Training and Brain Stimulation in Prodromal Alzheimer's Disease,2
NCT02074215,Effect of Exercises Training in Patients With Mild Cognitive Impairment and Early Alzheimer's Disease,5
NCT04520412,A Study of Sodium Oligomannate (GV-971) in Participants With Mild to Moderate Alzheimer's Disease,1
NCT02337907,BI 409306 in Patients With Cognitive Impairment Due to Alzheimer's Disease.,5
NCT04165109,Trial-Ready Cohort-Down Syndrome (TRC-DS),2
NCT02844699,"A Multicenter Randomized Double-blind Placebo-controlled Pilot Study of Safety, Pharmacodynamics and Efficacy of Different Treatments of Immunotherapeutic Drug Mobilan (M-VM3) in Patients With Diagnosed Prostate Cancer",1
NCT04906863,Genetic Studies of Early-onset Dementia,5
NCT05978804,Home-based tDCS in Frontotemporal Dementia or Alzheimer's Disease,5
NCT01049555,Contribution of Actigraphy and Recognition Video in Apathy Assessment of Alzheimer's Disease : Experimental Research,3
NCT06582199,Precision Medicine in Alzheimer's Disease : Integration of Resilience Metrics and Risk Factors - Validation Cohort BioCogBank-AD,5
NCT02147652,Personalized Music Therapy and Agitation in Dementia,3
NCT06180252,PET Study of Acetylcholine Esterase Activity in Alzheimer's Disease,0
NCT01035138,A Study of Semagacestat for Alzheimer's Patients,2
NCT02537626,An Evaluation of Low Level Laser Light Therapy on Improving the Symptoms of Alzheimer's Disease,2
NCT02708485,Effect of Walking on Brain Fuel Consumption in Mild Alzheimer's Disease,2
NCT05267535,Piromelatine 20 mg in Participants With Mild Dementia Due to Alzheimer's Disease,1
NCT06681948,The Ketogenic Diet in the Treatment of Alzheimer's Disease,1
NCT06169826,Histidine Oral Supplementation as a Therapeutic Modality for Alzheimer's Disease,2
NCT05887674,Shanghai Non-pharmacological Intervention for Mild Cognitive Impairment and Mild Alzheimer's Disease,5
NCT01095718,Comparison of 3 Learning Methods to Improve Independent Activities of Daily Living (IADLs) in Alzheimer Disease,2
NCT00384423,Short Term Effects of PRX-03140 in Patients With Mild Alzheimer's Disease Being Treated With Aricept,4
NCT00675623,A Safety and Efficacy Study of Oral Dimebon in Patients With Mild-To-Moderate Alzheimer's Disease,1
NCT02804789,European Prevention of Alzheimer's Dementia (EPAD) Longitudinal Cohort Study (LCS),2
NCT02951559,SOLFAMU Study of Nasal Brushing Collected OLFActory MUcosa Samples in the Diagnosis of Human Encephalopathies,2
NCT06538116,A Study of Mevidalen (LY3154207) in Participants With Alzheimer's Disease,2
NCT05527587,The Effects of a Park Visit Program on Individuals With Dementia and Their Caregivers,3
NCT06094452,Effects of 24-week Computerized Cognitive Training in Patients With MCI and AD,5
NCT06585384,Safety of a Strategy Combining Etanercept Administration with Repeated Contrast Ultrasound in Patients with Alzheimer's Disease,2
NCT06489015,Recombinant Human Serum Albumin in the Treatment of AD (Alzheimer Disease) Exploratory Clinical Trials,1
NCT00833274,Evaluation of Apathy Using Attentional Reaction Test in Neurodegenerative Diseases,2
NCT07236190,Biomarker-based Trial of NPC-1 for Alzheimer's Pathology,5
NCT06864910,Brain Functional Changes Accompany Modulatory Effects of Transcranial Direct Current Stimulation in Cognitive Impairment,2
NCT06803823,A Study of ONO-2020 in Patients With Agitation Associated With Alzheimer's Disease Dementia,1
NCT05402423,An Integrated Intervention of Computerized Cognitive Training and Physical Exercise in Virtual Reality for People With Alzheimer's Disease (JDome),3
NCT06979778,"Testing the Efficacy of the ""Syd"" App on Improving Quality of Life and Mental Health Among University Students in the Kingdom of Saudi Arabia",3
NCT06384378,Systemic and Central Inflammation in AD,0
NCT00948259,Safety Study of a Glycogen Synthase Kinase 3 (GSK3) Inhibitor in Patients With Alzheimer´s Disease,1
NCT00246896,Care Management for Patients With Alzheimer Disease and Their Family Caregivers,3
NCT03124550,Development of An Exergame for Caregivers of Individuals With Alzheimer's Disease or Related Dementias,3
NCT07433010,German Dementia Registry,5
NCT01397578,A Study to Evaluate the Impact of MABT5102A on Brain Amyloid Load and Related Biomarkers in Patients With Mild to Moderate Alzheimer's Disease,0
NCT01701089,A Study of RO4602522 in Patients With Alzheimer Disease and in Healthy Volunteers,0
NCT01994889,Safety and Efficacy of Tafamidis in Patients With Transthyretin Cardiomyopathy,1
